paper_id	affiliation_string	labels	labels_name	dataset
2081388776	Federal University of Minas Gerais, Belo Horizonte, BRAZIL	[110200422]	['110200422 - Universidade Federal de Minas Gerais']	sampled_200_head
2085618557	Department of Solid State Engineering, Institute of Chemical Technology, 166 28 Prague, Czech Republic	[9073902]	['9073902 - University of Chemistry and Technology']	sampled_200_head
2085618557	Nuclear Physics Institute AS, 250 68 Rez, Czech Republic	[4210149327]	['4210149327 - Nuclear Physics Institute of the Czech Academy of Sciences']	sampled_200_head
2085968172	Königsberg i. Pr.	[-1]	['-1 - None']	sampled_200_head
2088086541	University of Iowa, Iowa City	[126307644]	['126307644 - University of Iowa']	sampled_200_head
2088086541	Boston University School of Medicine, Mass	[111088046]	['111088046 - Boston University']	sampled_200_head
2088086541	University of Alabama at Birmingham	[32389192]	['32389192 - University of Alabama at Birmingham']	sampled_200_head
2088086541	University of California at San Francisco	[180670191]	['180670191 - University of California, San Francisco']	sampled_200_head
2088086541	US Department of Agriculture, Human Nutrition Research Center for Aging, Tufts University, Boston, Mass	[121934306]	['121934306 - Tufts University']	sampled_200_head
2090976416	Arkansas State University	[125956826]	['125956826 - Arkansas State University']	sampled_200_head
2090976416	University of Cincinnati**	[63135867]	['63135867 - University of Cincinnati']	sampled_200_head
2090976416	University of Central Arkansas ,	[32038505]	['32038505 - University of Central Arkansas']	sampled_200_head
2093118581	Sandia National Laboratories (United States)	[4210104735]	['4210104735 - Sandia National Laboratories']	sampled_200_head
2098450409	Department of Organic Chemistry, St. Petersburg Institute of Technology (Technical University), Moskovskii pr 26, 190013 St. Petersburg, Russia	[98642627]	['98642627 - St. Petersburg State Technological Institute']	sampled_200_head
2098450409	Institute für Chemie und Biochemie, Freie Universität Berlin, Fabeckstrasse 34–36, 14195 Berlin, Germany; School of Engineering and Science, Jacobs University Bremen, Campus Ring 1, 28759 Bremen, Germany https://www.jacobs‐university.de/de/groeschenthaler/researchgrouphttps://www.jacobs‐university.de/de/ses/groeschenthaler	[193619901, 75951250]	['193619901 - Jacobs University', '75951250 - Freie Universität Berlin']	sampled_200_head
2098450409	School of Engineering and Science, Jacobs University Bremen, Campus Ring 1, 28759 Bremen, Germany https://www.jacobs-university.de/de/groeschenthaler/researchgrouphttps://www.jacobs-university.de/de/ses/groeschenthaler	[193619901]	['193619901 - Jacobs University']	sampled_200_head
2103619162	UniversitÈ de Nantes	[97188460]	['97188460 - University of Nantes']	sampled_200_head
2103619162	University Hospital Department of Dermatology Brest France	[4210132604]	['4210132604 - Centre Hospitalier Régional Universitaire de Brest']	sampled_200_head
2103619162	Children's Memorial Hospital	[-1]	['-1 - None']	sampled_200_head
2103619162	University of Dundee#TAB#	[177639307]	['177639307 - University of Dundee']	sampled_200_head
2103619162	University of Giessen Department of Psychosomatic Medicine‐Psychodermatology Giessen Germany	[200763008]	['200763008 - University of Giessen']	sampled_200_head
2103619162	Aarhus university;	[204337017]	['204337017 - Aarhus University']	sampled_200_head
2103619162	St. Justine University Hospital	[2802351361]	['2802351361 - Centre Hospitalier Universitaire Sainte-Justine']	sampled_200_head
2103619162	Intensive Care and Dermatological Sciences Department of Anesthesia Milan Italy	[-1]	['-1 - None']	sampled_200_head
2103619162	Vrije Universiteit Brüssel	[13469542]	['13469542 - Vrije Universiteit Brussel']	sampled_200_head
2103619162	Hopital l'Archet	[4210118460]	["4210118460 - Hôpital l'Archet"]	sampled_200_head
2103619162	Universidade de São Paulo	[17974374]	['-1 - None']	sampled_200_head
2103619162	Rady Children's Hospital.	[4210087384]	['-1 - None']	sampled_200_head
2108385394	Department of Molecular & Medical Pharmacology, David Geffen School of Medicine at UCLA, University of California Los Angeles, Los Angeles, USA	[161318765]	['161318765 - University of California, Los Angeles']	sampled_200_head
2115987049	CEH BanchoryHill of Brathens, Banchory, Aberdeenshire AB31 4BY, UK	[-1]	['-1 - None']	sampled_200_head
2115987049	Institute of Evolutionary Biology, University of Edinburgh, King’s Buildings, Edinburgh EH9 3JT, UK ,	[98677209]	['98677209 - University of Edinburgh']	sampled_200_head
2117748945	College of Marine Geosciences, Ocean University of China, Qingdao, Shandong, People's Republic of China; Key Laboratory of Sea Floor Science and Exploration Technique, Ministry of Education, Qingdao, Shandong, People's Republic of China, 266100	[59028903]	['59028903 - Ocean University of China']	sampled_200_head
2117748945	Department of Geology, University of South Florida, Tampa, FL, 33620 U.S.A	[2613432]	['2613432 - University of South Florida']	sampled_200_head
2117748945	College of Marine Geosciences, Ocean University of China, Qingdao, Shandong, People's Republic of China	[59028903]	['59028903 - Ocean University of China']	sampled_200_head
2125090689	Hydrobiological Institute of the Academy of Sciences of the Czech Republic, Na Sádkách 7, CZ‐37005 Céské Budéjovice, Czech Republic.	[4210143603]	['4210143603 - Institute of Hydrobiology']	sampled_200_head
2125090689	Faculty of Biological Sciences, University of South Bohemia, CZ-37005 Céské Budéjovice, Czech Republic.; Hydrobiological Institute of the Academy of Sciences of the Czech Republic, Na Sádkách 7, CZ‐37005 Céské Budéjovice, Czech Republic.	[3124161356]	['3124161356 - University of South Bohemia in České Budějovice']	sampled_200_head
2135209961	Perimeter Institute for Theoretical Physics, Waterloo, Canada, Department of Physics, University of Guelph, Guelph, Canada, and Center for Computation and Technology, Louisiana State University, Baton Rouge	[183974707, 79817857, 121820613]	['183974707 - Perimeter Institute', '79817857 - University of Guelph', '121820613 - Louisiana State University']	sampled_200_head
2135209961	Center for Computation and Technology#R##N#Louisiana State University	[121820613]	['121820613 - Louisiana State University']	sampled_200_head
2135209961	Center for Computation and Technology and Department of Computer Science, Louisiana State University	[121820613]	['121820613 - Louisiana State University']	sampled_200_head
2135209961	University of Illinois Urbana Champaign >  >  >  >	[157725225]	['157725225 - University of Illinois Urbana-Champaign']	sampled_200_head
2138559988	Naval Electronics Laboratory Center San Diego, Calif. 92152	[-1]	['-1 - None']	sampled_200_head
2139244987	William Mitchell College of Law.	[-1]	['178721510 - Mitchell College']	sampled_200_head
2140949981	Authors are with Dept. of Food, Agricultural & Biological Engineering, The Ohio State Univ., 590 Woody Hayes Dr., 206 Agricultural Engineering Bldg., Columbus, OH 43210-1058, U.S.A. Direct inquiries to author Sastry (E-mail: sastry.2@osu.edu).	[52357470]	['52357470 - The Ohio State University']	sampled_200_head
2141882545	[University of Freiburg,Germany]	[161046081]	['161046081 - University of Freiburg']	sampled_200_head
2141882545	Hamburg University of Technology,Germany	[884043246]	['884043246 - Hamburg University of Technology']	sampled_200_head
2145712147	Environmental Chemistry Division, Department of Environmental Sciences, Bharathiar University, Coimbatore‐641 046. Tamil Nadu, India	[111575329]	['111575329 - Bharathiar University']	sampled_200_head
2151180560	VicHealth Tobacco Control Centre, Carlton, Vic, Australia.	[216792429]	['216792429 - Victorian Health Promotion Foundation']	sampled_200_head
2153472791	Department of Psychology University of Notre Dame 118 Haggar Hall Notre Dame IN 46556 USA	[107639228]	['107639228 - University of Notre Dame']	sampled_200_head
2153472791	Department of Educational Psychology, 5th Floor Teacher’s Collage, Ball State University, Muncie IN 47306	[198089087]	['198089087 - Ball State University']	sampled_200_head
2154525396	Department of Microbiology, Montana State University, Bozeman 59717-3520, USA.	[23732399]	['23732399 - Montana State University']	sampled_200_head
2154996146	Electr. & Comput. Eng. Dept., Univ. of Delaware, Newark, DE, USA	[86501945]	['86501945 - University of Delaware']	sampled_200_head
2154996146	Appl. Phys. Lab., Univ. of Washington, Seattle, WA, USA	[201448701]	['201448701 - University of Washington']	sampled_200_head
2154996146	Dept. of Electr. & Comput. Eng., Univ. of Cincinnati, Cincinnati, OH, USA	[63135867]	['63135867 - University of Cincinnati']	sampled_200_head
2154996146	Air Force Res. Lab. Sensors Directorate, WPAFB, Dayton, OH, USA	[1280414376, 2799950915]	['1280414376 - United States Air Force Research Laboratory', '2799950915 - Wright-Patterson Air Force Base']	sampled_200_head
2156690298	Dept. of Comput Sci., Wayne State Univ., Detroit, MI, USA	[185443292]	['185443292 - Wayne State University']	sampled_200_head
2158780407	Texas Instrum., Inc., Dallas, TX, USA	[74760111]	['74760111 - Texas Instruments']	sampled_200_head
2164971443	St. Louis, Missouri, USA	[-1]	['208333798 - University of Missouri–St. Louis']	sampled_200_head
2166372863	Department of Chemical Physics and Macromolecular Chemistry , Kazak National University , Almaty, Kazakhstan	[185571130]	['-1 - None']	sampled_200_head
2217249025	Hydr. Engr., Corps of Engrs., U. S. Dept. of the Army, Mobile Dist., Mobile, Ala.	[4210088792]	['-1 - None']	sampled_200_head
2251872518	National Institute of Informatics,	[184597095]	['184597095 - National Institute of Informatics']	sampled_200_head
2260307871	Laboratory of Cellular Physiology and Metabolism, National Heart Institute, National Institutes of Health, Bethesda 14, Maryland	[4210106489, 1299303238]	['4210106489 - National Heart Lung and Blood Institute', '1299303238 - National Institutes of Health']	sampled_200_tail
2264247739	Employee Benefit Research Institute (EBRI).	[2801147030]	['2801147030 - Employee Benefit Research Institute']	sampled_200_tail
2286883301	Joseph P. Ripley Prof. of Engrg.; Cornell Univ., Ithaca, N.Y., USA	[205783295]	['205783295 - Cornell University']	sampled_200_tail
2286883301	Undergraduate Student; School of Civ. and Environmental Engrg., Cornell Univ., Ithaca, N.Y., USA	[205783295]	['205783295 - Cornell University']	sampled_200_tail
2297594898	#N##N#cDepartment of Energy Engineering Hanyang University	[4575257]	['4575257 - Hanyang University']	sampled_200_tail
2297594898	#N##TAB##TAB##TAB#aBar-Ilan University	[13955877]	['-1 - None']	sampled_200_tail
2297594898	#N##TAB##TAB##TAB#bBar Ilan University	[13955877]	['13955877 - Bar-Ilan University']	sampled_200_tail
2314553643	Department of Chemistry, Tsinghua University, Beijing 100084, P. R. China	[99065089]	['99065089 - Tsinghua University']	sampled_200_tail
2315013432	LiveSTRONG Cancer Institutes	[1305023659]	['1305023659 - Livestrong Foundation']	sampled_200_tail
2315013432	Vanderbilt University,#TAB#	[200719446]	['200719446 - Vanderbilt University']	sampled_200_tail
2329422063	Department of Chemistry and Chemical Engineering; Baoji University of Arts and Sciences; Baoji Shaanxi 721013 China	[2799293361]	['2799293361 - Baoji University of Arts and Sciences']	sampled_200_tail
2329422063	State Key Laboratory of Applied Organic Chemistry Key Laboratory of Nonferrous Metal Chemistry and Resources Utilization of Gansu Province Department of Chemistry Lanzhou University Lanzhou 730000 China.	[76214153]	['76214153 - Lanzhou University']	sampled_200_tail
2330028493	Department of Surgery, Center for Surgical Infection Research and Therapeutics Pritzker School of Medicine, University of Chicago, Chicago, Illinois.	[40347166]	['40347166 - University of Chicago']	sampled_200_tail
2331197475	المركز الجامعي بتامنغست الجزائر	[-1]	['-1 - None']	sampled_200_tail
2347491834	a, WEN Min b	[-1]	['-1 - None']	sampled_200_tail
2348917764	Neonatal Room,Department of Pediatrics,the First People's Hospital of Xiangshan County,Zhejiang Province,Xiangshan 315700,China	[4210154679]	["4210154679 - Xiangshan County First People's Hospital"]	sampled_200_tail
2349514341	First Institute of Oceanography,State Oceanic Administration,Qingdao 266061, China)	[4210114556]	['4210114556 - First Institute of Oceanography']	sampled_200_tail
2356218904	② School of Life Science,East Normal University,Shanghai 200062,China	[66867065]	['66867065 - East China Normal University']	sampled_200_tail
2356558948	Hebei Vocational College of Justice and Police Officers,Shijiazhuang 050081,China)	[-1]	['-1 - None']	sampled_200_tail
2362622093	Taiyuan University of Science and Technology Department of Computer,   Taiyuan  030024,  China)	[46305995]	['46305995 - Taiyuan University of Science and Technology']	sampled_200_tail
2370339323	Ophthalmology Department,Luqiao Hospital,Enze Medical Center of Taizhou	[4210158774]	['4210158774 - Zhejiang Taizhou Hospital']	sampled_200_tail
2373198534	2Clinical Pharmacology Institute,Medical College of Nanchang University,Nanchang 330006,China	[141649914]	['141649914 - Nanchang University']	sampled_200_tail
2376392260	Private Central Vocational and Technical Anatolian High School, Manisa, Turkey	[-1]	['-1 - None']	sampled_200_tail
2376392260	Celal Bayar University, Faculty of Art and Sciences, Department of Mathematics, Manisa, Turkey	[16748637]	['16748637 - Celal Bayar University']	sampled_200_tail
2383909593	~1,LIN Wen-han~2,ZHANG Liang-liang~1,LIN Peng~	[-1]	['-1 - None']	sampled_200_tail
2390824877	et al Department of Radiology,Changhai Hospital,Second Military Medical University	[177933477]	['-1 - None']	sampled_200_tail
2391608451	College of Liberal Arts,Anhui Normal University,Wuhu 241000,China)	[4472751]	['4472751 - Anhui Normal University']	sampled_200_tail
2393558753	Dalian Naval Academy,Dalian 116018)	[-1]	['-1 - None']	sampled_200_tail
2394413280	College of P	[-1]	['-1 - None']	sampled_200_tail
2406988575	Infection Prevention Coordinator, Madonna Rehabilitation Hospital	[1316036230]	['1316036230 - Madonna Rehabilitation Hospital']	sampled_200_tail
