paper_id	affiliation_string	labels	labels_name	institution1_id	institution2_id	institution3_id	institution4_id	institution5_id	institution6_id	dataset
W2989691704	School of Chemical Engineering & Technology, State Key Laboratory of Chemical Engineering, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin University, Tianjin, 300072, China.	[4210151209, 4210156066, 162868743]	['4210151209 - Collaborative Innovation Center of Chemical Science and Engineering Tianjin', '4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2802635222	State Key Laboratory of Chemical Engineering, Tianjin University, School of Chemical Engineering and Technology, Tianjin 30072, PR China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2944140525	Nanoyang Group, State Key Laboratory of Chemical Engineering, School of Chemical Engineering and Technology, Tianjin University, Tianjin 300350, China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3005892933	State Key Laboratory of Chemical Engineering, School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, PR China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2011039341	State Key Laboratory of Chemical Engineering, School of Chemical Engineering and Technology Tianjin University Tianjin China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2766203022	State Key Laboratory of Chemical Engineering, School of Chemical Engineering and Technology , Tianjin University , Tianjin 300072 , P.R. China.	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2144077603	School of Chemical Engineering and Technology, State Key Laboratory of Chemical Engineering, Tianjin Key Laboratory of Membrane Science and Desalination Technology, Tianjin University,Tianjin,PR China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2110447721	State Key Laboratory of Chemical Engineering (Tianjin University); Tianjin 300072 China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2900355323	School of Chemical Engineering and Technology, State Key Laboratory of Chemical Engineering, Tianjin University, Tianjin, 300072, P. R. China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2065151441	State Key Laboratory of Chemical Engineering, School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, China	[4210156066, 162868743]	['4210156066 - State Key Laboratory of Chemical Engineering', '162868743 - Tianjin University']	162868743	4210156066	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2021748653	State Key Laboratory of Chemo/Biosensing and Chemometrics, Hunan University, College of Chemistry and Chemical Engineering, Hunan Normal University, Changsha 410081, PR China	[173759888, 16609230]	['173759888 - Hunan Normal University', '16609230 - Hunan University']	173759888	16609230	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2009559924	The Chinese University of Hong Kong – Zhejiang University Joint Laboratory for Human Reproduction and Related Diseases,	[177725633, 76130692]	['177725633 - Chinese University of Hong Kong', '76130692 - Zhejiang University', '889458895 - University of Hong Kong']	177725633	76130692	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2968589146	The University of Adelaide-Shanghai Jiao Tong University Joint Laboratory for Plant Science and Breeding, School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, 200240 China.	[183067930, 5681781]	['183067930 - Shanghai Jiao Tong University', '5681781 - University of Adelaide']	183067930	5681781	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2106533195	State Key Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences, Peking Union Medical College, Tsinghua University, Beijing, China	[200296433, 99065089]	['200296433 - Chinese Academy of Medical Sciences & Peking Union Medical College', '99065089 - Tsinghua University']	99065089	200296433	No name	No name	No name	No name	cwts_multi_inst_no_relation
W3168189190	Department of Anesthesiology, Shenzhen People's Hospital, The Second Clinical Medical College, Jinan University, The First Affiliated Hospital of Southern University of Science and Technology, Shenzhen, Guangdong, China (mainland).	[159948400, 3045169105, 4210105608]	['159948400 - Jinan University', '3045169105 - Southern University of Science and Technology', '4210105608 - ShenZhen People’s Hospital']	4210105608	Jinan University	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2996635613	Shenzhen People’s Hospital, The First Affiliated Hospital of Southern University of Science and Technology, The Second Clinical Medical College of Jinan University, Shenzhen, China	[159948400, 3045169105, 4210105608]	['159948400 - Jinan University', '3045169105 - Southern University of Science and Technology', '4210105608 - ShenZhen People’s Hospital']	Jinan University	4210105608	No name	No name	No name	No name	cwts_multi_inst_no_relation
W2919779855	Department of Urology Guangzhou First People's Hospital, Guangzhou Medical University, the Second Affiliated Hospital of South China University of Technology Guangzhou China	[90610280, 2799425052, 92039509, 4210116575]	['90610280 - South China University of Technology', '2799425052 - Guangdong General Hospital', '92039509 - Guangzhou Medical University', "4210116575 - Guangzhou First People's Hospital"]	4210116575	92039509	2799425052	No name	No name	No name	cwts_multi_inst_no_relation
W2606985331	State Key Laboratory of Synthetic Chemistry, Institute of Molecular Functional Materials, HKU-CAS Joint Laboratory on New Materials, Department of Chemistry, The University of Hong Kong , Pokfulam Road, Hong Kong, People's Republic of China.	[4210130449, 889458895, 4210165038, 4210094881]	['4210130449 - State Key Laboratory of Synthetic Chemistry', '889458895 - University of Hong Kong', '4210165038 - University of Chinese Academy of Sciences', '4210094881 - Institute of Molecular Functional Materials']	889458895	4210165038	4210130449	No name	No name	No name	cwts_multi_inst_no_relation
W1997650416	Institute of Clinical Chemistry and Pathobiochemistry, Klinikum rechts der Isar, Technische Universität, 81675 München, Germany	[62916508, 2802619606]	['62916508 - Technical University of Munich', '2802619606 - Rechts der Isar Hospital']	2802619606	62916508	No name	No name	No name	No name	cwts_multi_inst_no_relation
