paper_id	affiliation_string	labels	labels_name	institution1	institution2	dataset
W4207084180	Division of Neurosurgery, Toronto Western Hospital, University Health Network, University of Toronto, Toronto, ON, Canada.	[1325899441, 2799337515, 185261750]	['1325899441 - University Health Network', '2799337515 - Toronto Western Hospital', '185261750 - University of Toronto']	University of Toronto	University Health Network	cwts_multi_inst_related
W3166746419	Division of Medical Oncology and Hematology, Princess Margaret Cancer Centre, University Health Network, University of Toronto, Toronto, ON, Canada;	[2802654988, 1325899441, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '1325899441 - University Health Network', '185261750 - University of Toronto']	University of Toronto	University Health Network	cwts_multi_inst_related
W2086272768	Department of Medical Biophysics, University of Toronto, Ontario Cancer Institute/ University Health Network, Toronto, ON, Canada	[1325899441, 185261750]	['1325899441 - University Health Network', '185261750 - University of Toronto']	University of Toronto	University Health Network	cwts_multi_inst_related
W2165084192	Division of Respirology, Department of Medicine, University Health Network, University of Toronto, Toronto, Canada	[1325899441, 185261750, 185261750]	['1325899441 - University Health Network', '185261750 - University of Toronto']	University of Toronto	University Health Network	cwts_multi_inst_related
W2321317091	Latner Thoracic Surgery Research Laboratories, Toronto General Hospital Research Institute, Universal Health Network, University of Toronto, Toronto, Ontario, Canada.	[1325899441, 2801845744]	['1325899441 - University Health Network', '2801845744 - Toronto General Hospital']	University of Toronto	University Health Network	cwts_multi_inst_related
W2054151954	Campbell Family Cancer Research Institute, Ontario Cancer Institute, Princess Margaret Hospital, University Health Network, University of Toronto, Toronto, Canada.	[112260969, 2802654988, 1325899441, 185261750]	['112260969 - Ontario Institute for Cancer Research', '2802654988 - Princess Margaret Cancer Centre', '1325899441 - University Health Network']	University of Toronto	University Health Network	cwts_multi_inst_related
W2188942604	Department of Psychiatry, Toronto Western Hospital, University Health Network, University of Toronto, 399 Bathurst Street, Toronto, Ontario, CanadaM5T 2S8	[2799337515, 1325899441, 185261750]	['-1 - None']	University of Toronto	Toronto Western Hospital	cwts_multi_inst_related
W1941682183	Department of Radiology, Montreal Children’s Hospital, McGill University, Montreal, Canada	[2799950917, 5023651]	["2799950917 - Montreal Children's Hospital", '5023651 - McGill University']	McGill University	Montreal Children's Hospital	cwts_multi_inst_related
W2121344386	Division of Pediatric Cardiology The Montréal Children’s Hospital, McGill University Health Center, Montréal, Canada	[2799950917, 5023651]	["2799950917 - Montreal Children's Hospital", '5023651 - McGill University']	McGill University Health Centre	Montreal Children's Hospital	cwts_multi_inst_related
W2034054483	Department of Human Genetics, McGill University-Montreal Children's Hospital, Montreal, Quebec, Canada.	[2799950917, 5023651]	["2799950917 - Montreal Children's Hospital", '5023651 - McGill University']	McGill University	Montreal Children's Hospital	cwts_multi_inst_related
W2054859060	Departments of Pharmacology & Therapeutics, Pediatrics and Human Genetics,McGill University and The Montreal Children's Hospital Research Institute, Montréal, Canada	[2799950917, 5023651]	["2799950917 - Montreal Children's Hospital", '5023651 - McGill University']	McGill University	Montreal Children's Hospital	cwts_multi_inst_related
W2032618228	Division of Cardiology, Department of Paediatrics, Montreal Children’s Hospital of the McGill University Health Centre, Montreal, Quebec, Canada	[2801766832, 2799950917]	['2801766832 - McGill University Health Centre', "2799950917 - Montreal Children's Hospital"]	McGill University Health Centre	Montreal Children's Hospital	cwts_multi_inst_related
W2029959214	Montreal Children's Hospital, McGill University Health Centre Montréal Quebec Canada	[2801766832, 2799950917]	['2801766832 - McGill University Health Centre', "2799950917 - Montreal Children's Hospital"]	McGill University Health Centre	Montreal Children's Hospital	cwts_multi_inst_related
W2019508872	Centre for Research in Neuroscience, Department of Neurology and Neurosurgery, The Research Institute of the McGill University Health Centre, Montreal General Hospital, Montreal, QC, Canada H3G 1A4	[2801766832, 2800293973]	['2801766832 - McGill University Health Centre', '2800293973 - Montreal General Hospital']	McGill University Health Centre	Montreal General Hospital	cwts_multi_inst_related
W3036772847	Department of Surgery, Division of Orthopedic Surgery, McGill University, Montreal General Hospital, 1650 Cedar Avenue, Room A10-110, Montreal, Québec H3G 1A4, Canada	[2800293973, 5023651]	['2800293973 - Montreal General Hospital', '5023651 - McGill University']	McGill University	Montreal General Hospital	cwts_multi_inst_related
W2098013607	Section of Critical Care Medicine, Health Sciences Centre/St. Boniface Hospital, University of Manitoba, Winnipeg, MB, Canada	[2800567748, 46247651, 2802362269]	['2800567748 - St. Boniface Hospital', '46247651 - University of Manitoba', '2802362269 - Health Sciences Centre']	University of Manitoba	St. Boniface Hospital	cwts_multi_inst_related
W2053874839	Applied Research, Department of Psychiatry, College of Medicine, Royal University Hospital, University of Saskatchewan, 103 Hospital Drive, Saskatoon, SK, Canada S7N 0W8	[2801053234, 32625721]	['2801053234 - Royal University Hospital', '32625721 - University of Saskatchewan']	University of Saskatchewan	Royal University Hospital	cwts_multi_inst_related
W2102233476	Division of Immunology and Allergy, Hospital for Sick Children, University of Toronto, Toronto, Ontario, Canada	[185261750, 2801317318, 4210141030]	['185261750 - University of Toronto', '2801317318 - Hospital for Sick Children', '4210141030 - SickKids Foundation']	University of Toronto	Hospital for Sick Children	cwts_multi_inst_related
W2393280323	Centre for Genetic Medicine, Department of Pediatrics, Hospital for Sick Children, University of Toronto, Ontario, Canada.	[185261750, 2801317318, 4210141030]	['185261750 - University of Toronto', '2801317318 - Hospital for Sick Children', '4210141030 - SickKids Foundation']	University of Toronto	Hospital for Sick Children	cwts_multi_inst_related
W2280315107	Department of Paediatrics, Division of Endocrinology, JDRF-Canadian Clinical Trial Network (JDRF-CCTN) Sick Kids Multicenter Clinical Trial Center, The Hospital for Sick Children, University of Toronto, Toronto, Canada	[1285194536, 2801317318, 4210141030, 185261750]	['1285194536 - Juvenile Diabetes Research Foundation', '2801317318 - Hospital for Sick Children', '4210141030 - SickKids Foundation', '185261750 - University of Toronto']	University of Toronto	Hospital for Sick Children	cwts_multi_inst_related
W4210767656	Department of Paediatrics, Division of Cardiology, The Hospital for Sick Children, University of Toronto, Toronto, Canada.	[185261750, 2801317318, 4210141030]	['185261750 - University of Toronto', '2801317318 - Hospital for Sick Children', '4210141030 - SickKids Foundation']	University of Toronto	Hospital for Sick Children	cwts_multi_inst_related
W3096637374	Peter Brojde Lung Cancer Centre, Sir Mortimer B. Davis Jewish General Hospital, McGill University, Montreal, QC, Canada.	[2801824472, 5023651]	['2801824472 - Jewish General Hospital', '5023651 - McGill University']	McGill University	Jewish General Hospital	cwts_multi_inst_related
W2920987161	McGill University and Segal Cancer Centre, Jewish General Hospital, Montreal, QC, Canada	[2801824472, 5023651]	['2801824472 - Jewish General Hospital', '5023651 - McGill University']	McGill University	Jewish General Hospital	cwts_multi_inst_related
W2160624204	Toronto General Hospital, Heart and Stroke Richard Lewar Centre of Excellence, University of Toronto, Toronto, Ontario, Canada	[2801845744, 185261750]	['2801845744 - Toronto General Hospital', '273727760 - Heart and Stroke Foundation', '185261750 - University of Toronto']	University of Toronto	Toronto General Hospital	cwts_multi_inst_related
W2937998003	Multiorgan Transplant Program Toronto General Hospital University of Toronto Toronto ON Canada	[2801845744, 185261750]	['2801845744 - Toronto General Hospital', '185261750 - University of Toronto']	University of Toronto	Toronto General Hospital	cwts_multi_inst_related
W1521450967	University of Toronto, Department of Anesthesia and Pain Management, Toronto General Hospital, Toronto, Ontario, Canada.	[2801845744, 185261750]	['2801845744 - Toronto General Hospital', '185261750 - University of Toronto']	University of Toronto	Toronto General Hospital	cwts_multi_inst_related
W2172096186	McLaughlin-Rotman Centre, University Health Network-Toronto General Hospital, McLaughlin Centre for Molecular Medicine, University of Toronto, Toronto, Ontario, Canada;	[1325899441, 2801845744]	['1325899441 - University Health Network', '2801845744 - Toronto General Hospital']	University Health Network	Toronto General Hospital	cwts_multi_inst_related
W3131498925	CHU Sainte-Justine Research Center, Université De Montréal, Montreal, Canada	[2802351361, 70931966]	['2802351361 - Centre Hospitalier Universitaire Sainte-Justine']	University of Montreal	Centre Hospitalier Universitaire Sainte-Justine	cwts_multi_inst_related
W3127164646	Division of Medical Oncology; Princess Margaret Cancer Centre/University of Toronto; Toronto Ontario Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W3216493769	Department of Otolaryngology-Head and Neck Surgery, Princess Margaret Cancer Centre, University of Toronto, Toronto, ON M5G 2M9, Canada.	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2528512035	Department of Radiation Physics, Princess Margaret Cancer Centre / University of Toronto, Toronto, ON, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2591004607	Princess Margaret Cancer Centre/ University of Toronto, Toronto, ON, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W3211652415	Princess Margaret Cancer Centre/ University of Toronto, Toronto, ON, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2591004607	Princess Margaret Cancer Centre/ University of Toronto, Toronto, ON, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W3211652415	Princess Margaret Cancer Centre/ University of Toronto, Toronto, ON, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2096396796	Department of Radiation Oncology, Princess Margaret Hospital, University of Toronto, Toronto, Ontario, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W1935910567	Radiation Medicine Program, Princess Margaret Cancer Centre, University of Toronto, Toronto, Ontario, Canada	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W1969612826	Department of Radiation Oncology, Princess Margaret Hospital, University of Toronto, Toronto, Canada.	[2802654988, 185261750]	['2802654988 - Princess Margaret Cancer Centre', '185261750 - University of Toronto']	University of Toronto	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2763770778	Medical Oncology and Hematology, Princess Margaret Cancer Center, University Health Net Work, Toronto, ON, Canada	[2802654988, 1325899441]	['2802654988 - Princess Margaret Cancer Centre']	University Health Network	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2563765333	Division of Medical Oncology, Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada.	[2802654988, 1325899441]	['2802654988 - Princess Margaret Cancer Centre', '1325899441 - University Health Network']	University Health Network	Princess Margaret Cancer Centre	cwts_multi_inst_related
W2068597671	Department of Surgery, University of Alberta, Walter C. Mackenzie Centre, University of Alberta Hospital, Edmonton, Canada	[2802925319, 2800445679]	['2802925319 - University of Alberta Hospital', '2800445679 - Alberta Hospital Edmonton']	University of Alberta	University of Alberta Hospital	cwts_multi_inst_related
W4225427489	Air Pollution Exposure Laboratory, Division of Respiratory Medicine, Department of Medicine, Vancouver Coastal Health Research Institute, University of British Columbia, Vancouver, British Columbia, Canada; and.	[141074466, 4210150180, 141945490]	['141074466 - Vancouver Coastal Health', '4210150180 - Vancouver Coastal Health Research Institute', '141945490 - University of British Columbia']	University of British Columbia	Vancouver Coastal Health Research Institute	cwts_multi_inst_related
W2074305851	Division of Pediatric Surgery, Department of Surgery, BC Children's Hospital, University of British Columbia, Vancouver, BC, Canada V6H 3V4	[4210153200, 141945490]	["4210153200 - British Columbia Children's Hospital", '141945490 - University of British Columbia']	University of British Columbia	British Columbia Children's Hospital	cwts_multi_inst_related
W4214906700	Division of Pediatric Hematology/Oncology/BMT, British Columbia Children's Hospital, University of British Columbia, Vancouver, British Columbia, Canada.	[4210153200, 141945490]	["4210153200 - British Columbia Children's Hospital", '141945490 - University of British Columbia']	University of British Columbia	British Columbia Children's Hospital	cwts_multi_inst_related
W3202042827	Center for Molecular Diseases, Division of Genetic Medicine, Lausanne University Hospital, University of Lausanne, Lausanne, Switzerland.	[97565354, 2802229882]	['97565354 - University of Lausanne']	University of Lausanne	University Hospital of Lausanne	cwts_multi_inst_related
W3088079221	Department of Nuclear Medicine, Cardiac Imaging, University Hospital Zurich, University of Zurich, Zurich, Switzerland	[4210100468, 202697423]	['4210100468 - University Hospital of Zurich', '202697423 - University of Zurich']	University of Zurich	University Hospital of Zurich	cwts_multi_inst_related
W2623804275	Zürich Center for Integrative Human Physiology, Institute of Physiology University of Zürich Zürich Switzerland	[4210124410, 202697423]	['4210124410 - Swiss Integrative Center for Human Health', '202697423 - University of Zurich']	University of Zurich	University Hospital of Zurich	cwts_multi_inst_related
W2806733610	Department of Neurology, University Hospital Zurich, University of Zurich, Zürich, Switzerland	[4210100468, 202697423]	['4210100468 - University Hospital of Zurich', '202697423 - University of Zurich']	University of Zurich	University Hospital of Zurich	cwts_multi_inst_related
W2167310895	Department of Neurology, University Hospital Zürich, 8091 Zürich, Switzerland	[4210100468]	['4210100468 - University Hospital of Zurich']	University Hospital of Zurich	University of Zurich	cwts_multi_inst_related
W3113362074	Department of Radiation Oncology, University Hospital Zurich, University of Zurich, Zurich, Switzerland	[4210100468, 202697423]	['4210100468 - University Hospital of Zurich', '202697423 - University of Zurich']	University of Zurich	University Hospital of Zurich	cwts_multi_inst_related
W2027936363	Division of Angiology and Haemostasis, Department of Internal Medicine, Geneva University Hospital and Faculty of Medicine, Geneva, Switzerland.	[4210106256]	['4210106256 - University Hospital of Geneva']	University Hospital of Geneva	University of Geneva	cwts_multi_inst_related
W2734486426	Department of Basic Neurosciences, University Medical Center, University of Geneva Medical School, Geneva, Switzerland	[114457229, 4210106256]	['114457229 - University of Geneva']	University of Geneva	University Hospital of Geneva	cwts_multi_inst_related
W1985163535	Geneva University Hospitals, Geneva University, Switzerland	[114457229, 4210106256]	['4210106256 - University Hospital of Geneva']	University of Geneva	University Hospital of Geneva	cwts_multi_inst_related
